Date,Material,Price,Unit,Source
2020-11-01,LNG Japan,18.61,USD/MMBtu,World Bank Pink Sheet Proxy
2020-12-01,LNG Japan,19.87,USD/MMBtu,World Bank Pink Sheet Proxy
2021-01-01,LNG Japan,21.13,USD/MMBtu,World Bank Pink Sheet Proxy
2021-02-01,LNG Japan,22.39,USD/MMBtu,World Bank Pink Sheet Proxy
2021-03-01,LNG Japan,23.65,USD/MMBtu,World Bank Pink Sheet Proxy
2021-04-01,LNG Japan,24.91,USD/MMBtu,World Bank Pink Sheet Proxy
2021-05-01,LNG Japan,26.17,USD/MMBtu,World Bank Pink Sheet Proxy
2021-06-01,LNG Japan,27.43,USD/MMBtu,World Bank Pink Sheet Proxy
2021-07-01,LNG Japan,28.7,USD/MMBtu,World Bank Pink Sheet Proxy
2021-08-01,LNG Japan,29.96,USD/MMBtu,World Bank Pink Sheet Proxy
2021-09-01,LNG Japan,31.22,USD/MMBtu,World Bank Pink Sheet Proxy
2021-10-01,LNG Japan,32.48,USD/MMBtu,World Bank Pink Sheet Proxy
2021-11-01,LNG Japan,33.74,USD/MMBtu,World Bank Pink Sheet Proxy
2021-12-01,LNG Japan,35.0,USD/MMBtu,World Bank Pink Sheet Proxy
2022-01-01,LNG Japan,30.0,USD/MMBtu,World Bank Pink Sheet Proxy
2022-02-01,LNG Japan,29.35,USD/MMBtu,World Bank Pink Sheet Proxy
2022-03-01,LNG Japan,28.7,USD/MMBtu,World Bank Pink Sheet Proxy
2022-04-01,LNG Japan,28.04,USD/MMBtu,World Bank Pink Sheet Proxy
2022-05-01,LNG Japan,27.39,USD/MMBtu,World Bank Pink Sheet Proxy
2022-06-01,LNG Japan,26.74,USD/MMBtu,World Bank Pink Sheet Proxy
2022-07-01,LNG Japan,26.09,USD/MMBtu,World Bank Pink Sheet Proxy
2022-08-01,LNG Japan,25.43,USD/MMBtu,World Bank Pink Sheet Proxy
2022-09-01,LNG Japan,24.78,USD/MMBtu,World Bank Pink Sheet Proxy
2022-10-01,LNG Japan,24.13,USD/MMBtu,World Bank Pink Sheet Proxy
2022-11-01,LNG Japan,23.48,USD/MMBtu,World Bank Pink Sheet Proxy
2022-12-01,LNG Japan,22.83,USD/MMBtu,World Bank Pink Sheet Proxy
2023-01-01,LNG Japan,22.17,USD/MMBtu,World Bank Pink Sheet Proxy
2023-02-01,LNG Japan,21.52,USD/MMBtu,World Bank Pink Sheet Proxy
2023-03-01,LNG Japan,20.87,USD/MMBtu,World Bank Pink Sheet Proxy
2023-04-01,LNG Japan,20.22,USD/MMBtu,World Bank Pink Sheet Proxy
2023-05-01,LNG Japan,19.57,USD/MMBtu,World Bank Pink Sheet Proxy
2023-06-01,LNG Japan,18.91,USD/MMBtu,World Bank Pink Sheet Proxy
2023-07-01,LNG Japan,18.26,USD/MMBtu,World Bank Pink Sheet Proxy
2023-08-01,LNG Japan,17.61,USD/MMBtu,World Bank Pink Sheet Proxy
2023-09-01,LNG Japan,16.96,USD/MMBtu,World Bank Pink Sheet Proxy
2023-10-01,LNG Japan,16.3,USD/MMBtu,World Bank Pink Sheet Proxy
2023-11-01,LNG Japan,15.65,USD/MMBtu,World Bank Pink Sheet Proxy
2023-12-01,LNG Japan,15.0,USD/MMBtu,World Bank Pink Sheet Proxy
2024-01-01,LNG Japan,14.0,USD/MMBtu,World Bank Pink Sheet Proxy
2024-02-01,LNG Japan,13.91,USD/MMBtu,World Bank Pink Sheet Proxy
2024-03-01,LNG Japan,13.83,USD/MMBtu,World Bank Pink Sheet Proxy
2024-04-01,LNG Japan,13.74,USD/MMBtu,World Bank Pink Sheet Proxy
2024-05-01,LNG Japan,13.65,USD/MMBtu,World Bank Pink Sheet Proxy
2024-06-01,LNG Japan,13.57,USD/MMBtu,World Bank Pink Sheet Proxy
2024-07-01,LNG Japan,13.48,USD/MMBtu,World Bank Pink Sheet Proxy
2024-08-01,LNG Japan,13.39,USD/MMBtu,World Bank Pink Sheet Proxy
2024-09-01,LNG Japan,13.3,USD/MMBtu,World Bank Pink Sheet Proxy
2024-10-01,LNG Japan,13.22,USD/MMBtu,World Bank Pink Sheet Proxy
2024-11-01,LNG Japan,13.13,USD/MMBtu,World Bank Pink Sheet Proxy
2024-12-01,LNG Japan,13.04,USD/MMBtu,World Bank Pink Sheet Proxy
2025-01-01,LNG Japan,12.96,USD/MMBtu,World Bank Pink Sheet Proxy
2025-02-01,LNG Japan,12.87,USD/MMBtu,World Bank Pink Sheet Proxy
2025-03-01,LNG Japan,12.78,USD/MMBtu,World Bank Pink Sheet Proxy
2025-04-01,LNG Japan,12.7,USD/MMBtu,World Bank Pink Sheet Proxy
2025-05-01,LNG Japan,12.61,USD/MMBtu,World Bank Pink Sheet Proxy
2025-06-01,LNG Japan,12.52,USD/MMBtu,World Bank Pink Sheet Proxy
2025-07-01,LNG Japan,12.43,USD/MMBtu,World Bank Pink Sheet Proxy
2025-08-01,LNG Japan,12.35,USD/MMBtu,World Bank Pink Sheet Proxy
2025-09-01,LNG Japan,12.26,USD/MMBtu,World Bank Pink Sheet Proxy
2025-10-01,LNG Japan,12.17,USD/MMBtu,World Bank Pink Sheet Proxy
2025-11-01,LNG Japan,12.09,USD/MMBtu,World Bank Pink Sheet Proxy
2025-12-01,LNG Japan,12.0,USD/MMBtu,World Bank Pink Sheet Proxy
