Date,Material,Price,Unit,Source
2018-07-01,Acetic Acid,476.95,USD/MT,Chemanalyst/ICIS Trend Proxy
2018-08-01,Acetic Acid,478.31,USD/MT,Chemanalyst/ICIS Trend Proxy
2018-09-01,Acetic Acid,479.66,USD/MT,Chemanalyst/ICIS Trend Proxy
2018-10-01,Acetic Acid,481.02,USD/MT,Chemanalyst/ICIS Trend Proxy
2018-11-01,Acetic Acid,482.37,USD/MT,Chemanalyst/ICIS Trend Proxy
2018-12-01,Acetic Acid,483.73,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-01-01,Acetic Acid,485.08,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-02-01,Acetic Acid,486.44,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-03-01,Acetic Acid,487.8,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-04-01,Acetic Acid,489.15,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-05-01,Acetic Acid,490.51,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-06-01,Acetic Acid,491.86,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-07-01,Acetic Acid,493.22,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-08-01,Acetic Acid,494.58,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-09-01,Acetic Acid,495.93,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-10-01,Acetic Acid,497.29,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-11-01,Acetic Acid,498.64,USD/MT,Chemanalyst/ICIS Trend Proxy
2019-12-01,Acetic Acid,500.0,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-01-01,Acetic Acid,520.0,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-02-01,Acetic Acid,535.65,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-03-01,Acetic Acid,551.3,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-04-01,Acetic Acid,566.96,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-05-01,Acetic Acid,582.61,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-06-01,Acetic Acid,598.26,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-07-01,Acetic Acid,613.91,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-08-01,Acetic Acid,629.57,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-09-01,Acetic Acid,645.22,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-10-01,Acetic Acid,660.87,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-11-01,Acetic Acid,676.52,USD/MT,Chemanalyst/ICIS Trend Proxy
2020-12-01,Acetic Acid,692.17,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-01-01,Acetic Acid,707.83,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-02-01,Acetic Acid,723.48,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-03-01,Acetic Acid,739.13,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-04-01,Acetic Acid,754.78,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-05-01,Acetic Acid,770.43,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-06-01,Acetic Acid,786.09,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-07-01,Acetic Acid,801.74,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-08-01,Acetic Acid,817.39,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-09-01,Acetic Acid,833.04,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-10-01,Acetic Acid,848.7,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-11-01,Acetic Acid,864.35,USD/MT,Chemanalyst/ICIS Trend Proxy
2021-12-01,Acetic Acid,880.0,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-01-01,Acetic Acid,760.0,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-02-01,Acetic Acid,753.91,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-03-01,Acetic Acid,747.83,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-04-01,Acetic Acid,741.74,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-05-01,Acetic Acid,735.65,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-06-01,Acetic Acid,729.57,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-07-01,Acetic Acid,723.48,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-08-01,Acetic Acid,717.39,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-09-01,Acetic Acid,711.3,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-10-01,Acetic Acid,705.22,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-11-01,Acetic Acid,699.13,USD/MT,Chemanalyst/ICIS Trend Proxy
2022-12-01,Acetic Acid,693.04,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-01-01,Acetic Acid,686.96,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-02-01,Acetic Acid,680.87,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-03-01,Acetic Acid,674.78,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-04-01,Acetic Acid,668.7,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-05-01,Acetic Acid,662.61,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-06-01,Acetic Acid,656.52,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-07-01,Acetic Acid,650.43,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-08-01,Acetic Acid,644.35,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-09-01,Acetic Acid,638.26,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-10-01,Acetic Acid,632.17,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-11-01,Acetic Acid,626.09,USD/MT,Chemanalyst/ICIS Trend Proxy
2023-12-01,Acetic Acid,620.0,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-01-01,Acetic Acid,610.0,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-02-01,Acetic Acid,613.04,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-03-01,Acetic Acid,616.09,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-04-01,Acetic Acid,619.13,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-05-01,Acetic Acid,622.17,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-06-01,Acetic Acid,625.22,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-07-01,Acetic Acid,628.26,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-08-01,Acetic Acid,631.3,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-09-01,Acetic Acid,634.35,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-10-01,Acetic Acid,637.39,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-11-01,Acetic Acid,640.43,USD/MT,Chemanalyst/ICIS Trend Proxy
2024-12-01,Acetic Acid,643.48,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-01-01,Acetic Acid,646.52,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-02-01,Acetic Acid,649.57,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-03-01,Acetic Acid,652.61,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-04-01,Acetic Acid,655.65,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-05-01,Acetic Acid,658.7,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-06-01,Acetic Acid,661.74,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-07-01,Acetic Acid,664.78,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-08-01,Acetic Acid,667.83,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-09-01,Acetic Acid,670.87,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-10-01,Acetic Acid,673.91,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-11-01,Acetic Acid,676.96,USD/MT,Chemanalyst/ICIS Trend Proxy
2025-12-01,Acetic Acid,680.0,USD/MT,Chemanalyst/ICIS Trend Proxy
